course,task,total,complete
ENVS 200,Chapter Notes,560,280
ECE 457A,Notes,280,0
ECE 457A,Assignments,70,0
ECE 429,Notes,100,0
ECE 429,Notes,300,0
ECE 457A,Exam Practice,15,0
ECE 457A,Exam Practice,40,0
ECE 457A,Exam Practice,60,0
ECE 429,Exam Practice,40,0
ECE 429,Assignments,100,0
ECE 429,Assignments,120,0
ECE 457A,Notes,110,0
ECE 457A,Assignments,60,0
ECE 454,Notes,775,0
ECE 454,Tutorial Slides,100,0
ECE 454,Misc,15,0
ECE 454,Exam Practice,40,0
