course,task,total,complete
ECE 318,Problem Sets,160,160
ECE 318,Past Finals,90,90
ECE 390,Problem Sets,125,125
ECE 390,Past Finals,30,30
ECE 356,Slides,160,160
ECE 358,Slides,100,100
ECE 358,Problem Sets,80,80
ECE 356,Past Finals,90,90
ECE 358,Past Finals,90,90
ECE 390,Slides,80,80
EARTH 270,Past Finals,50,50
EARTH 270,Slides,270,270
ECE 318,Notes,60,60
